2023-07-12 22:44:43,254 WARN  [main] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.validation.mode], use [jakarta.persistence.validation.mode] instead
2023-07-12 22:44:43,931 INFO  [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-12 22:44:44,632 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-07-12 22:44:44,758 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-12 22:44:45,357 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4357524b
2023-07-12 22:44:45,360 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-12 22:44:46,277 INFO  [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-12 22:44:48,597 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-12 22:44:48,860 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-12 22:44:50,238 INFO  [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-07-12 22:46:48,919 INFO  [main] c.s.e.ExpenseTrackingApplication - Starting ExpenseTrackingApplication using Java 17.0.5 with PID 9780 (C:\Users\Nurhayat\Desktop\Hackhaton\expense-tracking\target\classes started by Nurhayat in C:\Users\Nurhayat\Desktop\Hackhaton\expense-tracking)
2023-07-12 22:46:48,928 INFO  [main] c.s.e.ExpenseTrackingApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-12 22:46:52,119 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-12 22:46:52,538 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 386 ms. Found 2 JPA repository interfaces.
2023-07-12 22:46:55,249 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
